time_s,x_m,y_m,z_m
0.17039868100255262,34.860409889418875,-88.921631302515,20.0
0.2204349289968377,35.156545229628506,-88.87364131261259,20.0
0.2556689110060688,35.27485592454673,-88.85357744899213,20.0
0.29806835600174963,35.39308153845922,-88.83301818416055,20.0
0.3352779959968757,35.511219996986846,-88.81196387884947,20.0
0.37548980899737217,35.629269227279444,-88.79041490247637,20.0
0.41551459900802,35.74722715805267,-88.76837163313826,20.0
0.45543777200509794,35.86509171962396,-88.745834457605,20.0
0.495631300000241,35.982860843949034,-88.72280377131244,20.0
0.5353395580023061,36.100532464658265,-88.6992799783556,20.0
0.5754873289988609,36.21810451709262,-88.67526349148143,20.0
0.6935095040098531,36.276852560477586,-88.66307061917281,20.0
0.7938939760060748,36.33557493834029,-88.65075473208175,20.0
0.8324549509998178,36.9680712590768,-88.50991969602049,20.0
0.8716536510037258,37.084842512444084,-88.48227094302064,20.0
0.9115211430034833,37.2014969268937,-88.45413330373053,20.0
0.9554960649984423,37.31803245561461,-88.42550727185143,20.0
0.9956428680015961,37.43444705388166,-88.39639334965385,20.0
1.0359567679988686,37.55073867909161,-88.36679204796894,20.0
1.0753827370062936,37.66690529079879,-88.33670388617922,20.0
1.115316987998085,37.782944850751036,-88.30612939220975,20.0
1.1554661340051098,37.89885532292555,-88.2750691025187,20.0
1.1957679190090857,38.014634673564316,-88.24352356208793,20.0
1.2362705590057885,38.130280871210125,-88.21149332441357,20.0
1.275364522007294,38.245791886741934,-88.17897895149615,20.0
1.3160112150071654,38.36116569341073,-88.14598101383083,20.0
1.3521590340096736,38.464883132666046,-88.11586990042426,20.0
1.3916886770020938,38.57999066745219,-88.08195479183154,20.0
1.4316181239992147,38.69495512954437,-88.04755782087081,20.0
1.4713219050026964,38.809774501783174,-88.01267959106916,20.0
1.511268796006334,38.92444676955505,-87.97732071439782,20.0
1.5519893800083082,39.038969920827604,-87.94148181126151,20.0
1.5918606760096736,39.15334194618466,-87.90516351048734,20.0
1.6313805530080572,39.26756083886191,-87.86836644931394,20.0
1.671543347008992,39.38162459478164,-87.83109127338028,20.0
1.7113713220023783,39.495531212588425,-87.7933386367143,20.0
1.752707535008085,39.6092786936837,-87.75510920172138,20.0
1.7915473360044416,39.722865042261375,-87.71640363917277,20.0
1.831396567999036,39.83628826534239,-87.67722262819395,20.0
1.8714374990086071,39.949546372809905,-87.63756685625242,20.0
1.9116211979999207,40.0626373774443,-87.59743701914587,20.0
1.951373132003937,40.17555929495778,-87.55683382099001,20.0
1.9916197630082024,40.28831014402946,-87.51575797420598,20.0
2.031560137998895,40.40088794633991,-87.47421019950798,20.0
2.071376648003934,40.51329072660609,-87.43219122589075,20.0
2.11197481599811,40.62551651261575,-87.3897017906166,20.0
2.1517074319999665,40.7375633352623,-87.34674263920245,20.0
2.191657720002695,40.84942922857913,-87.30331452540693,20.0
2.2315055360086262,40.96111222977424,-87.25941821121704,20.0
2.2711775630014017,41.07261037926468,-87.2150544668347,20.0
2.311432825998054,41.1839217207108,-87.17022407066348,20.0
2.351773268004763,41.295044301050794,-87.1249278092947,20.0
2.3914746880036546,41.40597617053474,-87.07916647749371,20.0
2.4315082260000054,41.51671538275904,-87.03294087818603,20.0
2.4721524580090772,41.62725999470034,-86.98625182244311,20.0
2.5119992770050885,41.73760806674967,-86.93910012946824,20.0
2.5524407220073044,41.84775766274676,-86.8914866265821,20.0
2.591458409006009,41.95770685001355,-86.8434121492082,20.0
2.631364360000589,42.06745369938858,-86.79487754085837,20.0
2.6714174750086386,42.176996285260316,-86.74588365311783,20.0
2.711481527003343,42.28633268560149,-86.69643134563024,20.0
