12_10_50.ulg 中与 07_37_59(1).ulg 不一样的参数值
=====================================================

日志A: /home/btfw/1/12_10_50.ulg
对比日志B: /home/btfw/1/07_37_59(1).ulg

列出参数数量: 167
  - 两个日志都有但值不同: 133
  - 仅12_10_50.ulg存在: 34
12_10_50飞行中参数改动记录: 0
07_37_59(1)飞行中参数改动记录: 0

参数名              | 12_10_50.ulg参数值  
PWM_MAIN_FUNC4   | 104              
RC1_MAX          | 1933             
RC1_MIN          | 1094             
RC1_TRIM         | 1514             
RC2_MAX          | 1933             
RC2_MIN          | 1094             
RC2_REV          | -1               
RC2_TRIM         | 1514             
RC3_MAX          | 1927             
RC3_MIN          | 1094             
RC3_TRIM         | 1094             
RC4_MAX          | 1933             
RC4_MIN          | 1094             
RC4_TRIM         | 1514             
RC_CHAN_CNT      | 18               
RC_INPUT_PROTO   | 2                
RC_MAP_PITCH     | 2                
RC_MAP_ROLL      | 1                
RC_MAP_THROTTLE  | 3                
RC_MAP_YAW       | 4                
RTL_LAND_DELAY   | -1               
RTL_RETURN_ALT   | 35               
SENS_BOARD_X_OFF | 1.52042460442    
SENS_BOARD_Y_OFF | -0.497862130404  
