category,parameter,current_value,system_default_in_log,current_setup_default_in_log,changed_from_logged_default,unit,px4_group,short_description,source_status
多旋翼角速度控制,MC_ROLLRATE_K,1.0,,,,,Multicopter Rate Control,Roll rate controller gain,metadata
多旋翼角速度控制,MC_ROLLRATE_P,0.10000000149011612,0.15000000596046448,0.15000000596046448,yes,,Multicopter Rate Control,Roll rate P gain,metadata
多旋翼角速度控制,MC_RR_INT_LIM,0.30000001192092896,,,,,Multicopter Rate Control,Roll rate integrator limit,metadata
多旋翼角速度控制,MC_YAWRATE_D,0.0,,,,,Multicopter Rate Control,Yaw rate D gain,metadata
多旋翼角速度控制,MC_YAWRATE_FF,0.0,,,,,Multicopter Rate Control,Yaw rate feedforward,metadata
多旋翼角速度控制,MC_YAWRATE_I,0.10000000149011612,,,,,Multicopter Rate Control,Yaw rate I gain,metadata
多旋翼角速度控制,MC_YAWRATE_K,1.0,,,,,Multicopter Rate Control,Yaw rate controller gain,metadata
多旋翼角速度控制,MC_YAWRATE_P,0.20000000298023224,,,,,Multicopter Rate Control,Yaw rate P gain,metadata
多旋翼角速度控制,MC_YAW_TQ_CUTOFF,2.0,,,,Hz,Multicopter Rate Control,Low pass filter cutoff frequency for yaw torque setpoint,metadata
多旋翼角速度控制,MC_YR_INT_LIM,0.30000001192092896,,,,,Multicopter Rate Control,Yaw rate integrator limit,metadata
安全断路器,CBRK_BUZZER,0,,,,,Circuit Breaker,Circuit breaker for disabling buzzer,metadata
安全断路器,CBRK_FLIGHTTERM,121212,,,,,Circuit Breaker,Circuit breaker for flight termination,metadata
安全断路器,CBRK_IO_SAFETY,22027,,,,,Circuit Breaker,Circuit breaker for IO safety,metadata
安全断路器,CBRK_SUPPLY_CHK,0,,,,,Circuit Breaker,Circuit breaker for power supply check,metadata
安全断路器,CBRK_USB_CHK,197848,,,,,Circuit Breaker,Circuit breaker for USB link check,metadata
安全断路器,CBRK_VTOLARMING,0,,,,,Circuit Breaker,Circuit breaker for arming in fixed-wing mode check,metadata
执行器/电机输出,DSHOT_3D_DEAD_H,1000,,,,,DShot,DSHOT 3D deadband high,metadata
执行器/电机输出,DSHOT_3D_DEAD_L,1000,,,,,DShot,DSHOT 3D deadband low,metadata
执行器/电机输出,DSHOT_3D_ENABLE,0,,,,,DShot,Allows for 3d mode when using DShot and suitable mixer,metadata
执行器/电机输出,DSHOT_BIDIR_EN,0,,,,,DShot,Enable bidirectional DShot,metadata
执行器/电机输出,DSHOT_MIN,0.054999999701976776,,,,%,DShot,Minimum DShot Motor Output,metadata
执行器/电机输出,DSHOT_TEL_CFG,0,,,,,DShot,Serial Configuration for DShot Driver,metadata
执行器/电机输出,MOT_POLE_COUNT,14,,,,,DShot,Number of magnetic poles of the motors,metadata
执行器/电机输出,PWM_LEVEL_CONT,0,,,,,PWM Outputs,Control PWM output voltage,metadata
执行器/电机输出,PWM_MAIN_DIS1,1000,,,,,Actuator Outputs,PWM Main 1 Disarmed Value,metadata
执行器/电机输出,PWM_MAIN_DIS10,1000,,,,,Actuator Outputs,PWM Capture 2 Disarmed Value,metadata
执行器/电机输出,PWM_MAIN_DIS11,1000,,,,,Actuator Outputs,PWM Capture 3 Disarmed Value,metadata
执行器/电机输出,PWM_MAIN_DIS12,1000,,,,,Actuator Outputs,PWM Capture 4 Disarmed Value,metadata
执行器/电机输出,PWM_MAIN_DIS13,1000,,,,,Actuator Outputs,PWM Capture 5 Disarmed Value,metadata
执行器/电机输出,PWM_MAIN_DIS14,1000,,,,,Actuator Outputs,PWM Capture 6 Disarmed Value,metadata
执行器/电机输出,PWM_MAIN_DIS2,1000,,,,,Actuator Outputs,PWM Main 2 Disarmed Value,metadata
执行器/电机输出,PWM_MAIN_DIS3,1000,,,,,Actuator Outputs,PWM Main 3 Disarmed Value,metadata
执行器/电机输出,PWM_MAIN_DIS4,1000,,,,,Actuator Outputs,PWM Main 4 Disarmed Value,metadata
执行器/电机输出,PWM_MAIN_DIS5,1000,,,,,Actuator Outputs,PWM Main 5 Disarmed Value,metadata
执行器/电机输出,PWM_MAIN_DIS6,1000,,,,,Actuator Outputs,PWM Main 6 Disarmed Value,metadata
执行器/电机输出,PWM_MAIN_DIS7,1000,,,,,Actuator Outputs,PWM Main 7 Disarmed Value,metadata
执行器/电机输出,PWM_MAIN_DIS8,1000,,,,,Actuator Outputs,PWM Main 8 Disarmed Value,metadata
执行器/电机输出,PWM_MAIN_DIS9,1000,,,,,Actuator Outputs,PWM Capture 1 Disarmed Value,metadata
执行器/电机输出,PWM_MAIN_FAIL1,-1,,,,,Actuator Outputs,PWM Main 1 Failsafe Value,metadata
执行器/电机输出,PWM_MAIN_FAIL10,-1,,,,,Actuator Outputs,PWM Capture 2 Failsafe Value,metadata
执行器/电机输出,PWM_MAIN_FAIL11,-1,,,,,Actuator Outputs,PWM Capture 3 Failsafe Value,metadata
执行器/电机输出,PWM_MAIN_FAIL12,-1,,,,,Actuator Outputs,PWM Capture 4 Failsafe Value,metadata
执行器/电机输出,PWM_MAIN_FAIL13,-1,,,,,Actuator Outputs,PWM Capture 5 Failsafe Value,metadata
执行器/电机输出,PWM_MAIN_FAIL14,-1,,,,,Actuator Outputs,PWM Capture 6 Failsafe Value,metadata
执行器/电机输出,PWM_MAIN_FAIL2,-1,,,,,Actuator Outputs,PWM Main 2 Failsafe Value,metadata
执行器/电机输出,PWM_MAIN_FAIL3,-1,,,,,Actuator Outputs,PWM Main 3 Failsafe Value,metadata
执行器/电机输出,PWM_MAIN_FAIL4,-1,,,,,Actuator Outputs,PWM Main 4 Failsafe Value,metadata
执行器/电机输出,PWM_MAIN_FAIL5,-1,,,,,Actuator Outputs,PWM Main 5 Failsafe Value,metadata
执行器/电机输出,PWM_MAIN_FAIL6,-1,,,,,Actuator Outputs,PWM Main 6 Failsafe Value,metadata
执行器/电机输出,PWM_MAIN_FAIL7,-1,,,,,Actuator Outputs,PWM Main 7 Failsafe Value,metadata
执行器/电机输出,PWM_MAIN_FAIL8,-1,,,,,Actuator Outputs,PWM Main 8 Failsafe Value,metadata
执行器/电机输出,PWM_MAIN_FAIL9,-1,,,,,Actuator Outputs,PWM Capture 1 Failsafe Value,metadata
执行器/电机输出,PWM_MAIN_FUNC1,101,0,0,yes,,Actuator Outputs,PWM Main 1 Output Function,metadata
执行器/电机输出,PWM_MAIN_FUNC10,0,,,,,Actuator Outputs,PWM Capture 2 Output Function,metadata
执行器/电机输出,PWM_MAIN_FUNC11,0,,,,,Actuator Outputs,PWM Capture 3 Output Function,metadata
执行器/电机输出,PWM_MAIN_FUNC12,0,,,,,Actuator Outputs,PWM Capture 4 Output Function,metadata
执行器/电机输出,PWM_MAIN_FUNC13,0,,,,,Actuator Outputs,PWM Capture 5 Output Function,metadata
执行器/电机输出,PWM_MAIN_FUNC14,0,,,,,Actuator Outputs,PWM Capture 6 Output Function,metadata
执行器/电机输出,PWM_MAIN_FUNC2,102,0,0,yes,,Actuator Outputs,PWM Main 2 Output Function,metadata
执行器/电机输出,PWM_MAIN_FUNC3,103,0,0,yes,,Actuator Outputs,PWM Main 3 Output Function,metadata
执行器/电机输出,PWM_MAIN_FUNC4,104,0,0,yes,,Actuator Outputs,PWM Main 4 Output Function,metadata
执行器/电机输出,PWM_MAIN_FUNC5,0,,,,,Actuator Outputs,PWM Main 5 Output Function,metadata
执行器/电机输出,PWM_MAIN_FUNC6,0,,,,,Actuator Outputs,PWM Main 6 Output Function,metadata
执行器/电机输出,PWM_MAIN_FUNC7,0,,,,,Actuator Outputs,PWM Main 7 Output Function,metadata
执行器/电机输出,PWM_MAIN_FUNC8,0,,,,,Actuator Outputs,PWM Main 8 Output Function,metadata
执行器/电机输出,PWM_MAIN_FUNC9,0,,,,,Actuator Outputs,PWM Capture 1 Output Function,metadata
执行器/电机输出,PWM_MAIN_MAX1,1900,2000,2000,yes,,Actuator Outputs,PWM Main 1 Maximum Value,metadata
执行器/电机输出,PWM_MAIN_MAX10,2000,,,,,Actuator Outputs,PWM Capture 2 Maximum Value,metadata
执行器/电机输出,PWM_MAIN_MAX11,2000,,,,,Actuator Outputs,PWM Capture 3 Maximum Value,metadata
执行器/电机输出,PWM_MAIN_MAX12,2000,,,,,Actuator Outputs,PWM Capture 4 Maximum Value,metadata
执行器/电机输出,PWM_MAIN_MAX13,2000,,,,,Actuator Outputs,PWM Capture 5 Maximum Value,metadata
执行器/电机输出,PWM_MAIN_MAX14,2000,,,,,Actuator Outputs,PWM Capture 6 Maximum Value,metadata
执行器/电机输出,PWM_MAIN_MAX2,1900,2000,2000,yes,,Actuator Outputs,PWM Main 2 Maximum Value,metadata
执行器/电机输出,PWM_MAIN_MAX3,1900,2000,2000,yes,,Actuator Outputs,PWM Main 3 Maximum Value,metadata
执行器/电机输出,PWM_MAIN_MAX4,1900,2000,2000,yes,,Actuator Outputs,PWM Main 4 Maximum Value,metadata
执行器/电机输出,PWM_MAIN_MAX5,2000,,,,,Actuator Outputs,PWM Main 5 Maximum Value,metadata
执行器/电机输出,PWM_MAIN_MAX6,2000,,,,,Actuator Outputs,PWM Main 6 Maximum Value,metadata
执行器/电机输出,PWM_MAIN_MAX7,2000,,,,,Actuator Outputs,PWM Main 7 Maximum Value,metadata
执行器/电机输出,PWM_MAIN_MAX8,2000,,,,,Actuator Outputs,PWM Main 8 Maximum Value,metadata
执行器/电机输出,PWM_MAIN_MAX9,2000,,,,,Actuator Outputs,PWM Capture 1 Maximum Value,metadata
执行器/电机输出,PWM_MAIN_MIN1,1100,1000,1000,yes,,Actuator Outputs,PWM Main 1 Minimum Value,metadata
执行器/电机输出,PWM_MAIN_MIN10,1000,,,,,Actuator Outputs,PWM Capture 2 Minimum Value,metadata
执行器/电机输出,PWM_MAIN_MIN11,1000,,,,,Actuator Outputs,PWM Capture 3 Minimum Value,metadata
执行器/电机输出,PWM_MAIN_MIN12,1000,,,,,Actuator Outputs,PWM Capture 4 Minimum Value,metadata
执行器/电机输出,PWM_MAIN_MIN13,1000,,,,,Actuator Outputs,PWM Capture 5 Minimum Value,metadata
执行器/电机输出,PWM_MAIN_MIN14,1000,,,,,Actuator Outputs,PWM Capture 6 Minimum Value,metadata
执行器/电机输出,PWM_MAIN_MIN2,1100,1000,1000,yes,,Actuator Outputs,PWM Main 2 Minimum Value,metadata
执行器/电机输出,PWM_MAIN_MIN3,1100,1000,1000,yes,,Actuator Outputs,PWM Main 3 Minimum Value,metadata
执行器/电机输出,PWM_MAIN_MIN4,1100,1000,1000,yes,,Actuator Outputs,PWM Main 4 Minimum Value,metadata
执行器/电机输出,PWM_MAIN_MIN5,1000,,,,,Actuator Outputs,PWM Main 5 Minimum Value,metadata
执行器/电机输出,PWM_MAIN_MIN6,1000,,,,,Actuator Outputs,PWM Main 6 Minimum Value,metadata
执行器/电机输出,PWM_MAIN_MIN7,1000,,,,,Actuator Outputs,PWM Main 7 Minimum Value,metadata
执行器/电机输出,PWM_MAIN_MIN8,1000,,,,,Actuator Outputs,PWM Main 8 Minimum Value,metadata
执行器/电机输出,PWM_MAIN_MIN9,1000,,,,,Actuator Outputs,PWM Capture 1 Minimum Value,metadata
执行器/电机输出,PWM_MAIN_REV,0,,,,,Actuator Outputs,Reverse Output Range for PWM MAIN,metadata
执行器/电机输出,PWM_MAIN_TIM0,-4,400,400,yes,,Actuator Outputs,Output Protocol Configuration for PWM Main 1-4,metadata
执行器/电机输出,PWM_MAIN_TIM1,400,,,,,Actuator Outputs,Output Protocol Configuration for PWM Main 5-6,metadata
执行器/电机输出,PWM_MAIN_TIM2,400,,,,,Actuator Outputs,Output Protocol Configuration for PWM Main 7-8,metadata
执行器/电机输出,PWM_MAIN_TIM3,400,,,,,Actuator Outputs,Output Protocol Configuration for PWM Capture 1-3,metadata
执行器/电机输出,PWM_MAIN_TIM4,400,,,,,Actuator Outputs,Output Protocol Configuration for PWM Capture 4,metadata
执行器/电机输出,PWM_MAIN_TIM5,400,,,,,Actuator Outputs,Output Protocol Configuration for PWM Capture 5-6,metadata
控制分配/机架几何,CA_AIRFRAME,0,,,,,Geometry,Airframe selection,metadata
控制分配/机架几何,CA_FAILURE_MODE,0,,,,,Geometry,Motor failure handling mode,metadata
控制分配/机架几何,CA_METHOD,2,,,,,Geometry,Control allocation method,metadata
控制分配/机架几何,CA_R0_SLEW,0.0,,,,s,Geometry,Motor 0 slew rate limit,metadata
控制分配/机架几何,CA_R10_SLEW,0.0,,,,s,Geometry,Motor 10 slew rate limit,metadata
控制分配/机架几何,CA_R11_SLEW,0.0,,,,s,Geometry,Motor 11 slew rate limit,metadata
控制分配/机架几何,CA_R1_SLEW,0.0,,,,s,Geometry,Motor 1 slew rate limit,metadata
控制分配/机架几何,CA_R2_SLEW,0.0,,,,s,Geometry,Motor 2 slew rate limit,metadata
控制分配/机架几何,CA_R3_SLEW,0.0,,,,s,Geometry,Motor 3 slew rate limit,metadata
控制分配/机架几何,CA_R4_SLEW,0.0,,,,s,Geometry,Motor 4 slew rate limit,metadata
控制分配/机架几何,CA_R5_SLEW,0.0,,,,s,Geometry,Motor 5 slew rate limit,metadata
控制分配/机架几何,CA_R6_SLEW,0.0,,,,s,Geometry,Motor 6 slew rate limit,metadata
控制分配/机架几何,CA_R7_SLEW,0.0,,,,s,Geometry,Motor 7 slew rate limit,metadata
控制分配/机架几何,CA_R8_SLEW,0.0,,,,s,Geometry,Motor 8 slew rate limit,metadata
控制分配/机架几何,CA_R9_SLEW,0.0,,,,s,Geometry,Motor 9 slew rate limit,metadata
控制分配/机架几何,CA_ROTOR0_AX,0.0,,,,,Geometry,"Axis of rotor 0 thrust vector, X body axis component",metadata
控制分配/机架几何,CA_ROTOR0_AY,0.0,,,,,Geometry,"Axis of rotor 0 thrust vector, Y body axis component",metadata
控制分配/机架几何,CA_ROTOR0_AZ,-1.0,,,,,Geometry,"Axis of rotor 0 thrust vector, Z body axis component",metadata
控制分配/机架几何,CA_ROTOR0_CT,6.5,,,,,Geometry,Thrust coefficient of rotor 0,metadata
控制分配/机架几何,CA_ROTOR0_KM,0.05000000074505806,,,,,Geometry,Moment coefficient of rotor 0,metadata
控制分配/机架几何,CA_ROTOR0_PX,1.0,0.0,,yes,m,Geometry,Position of rotor 0 along X body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR0_PY,1.0,0.0,,yes,m,Geometry,Position of rotor 0 along Y body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR0_PZ,0.0,,,,m,Geometry,Position of rotor 0 along Z body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR10_AX,0.0,,,,,Geometry,"Axis of rotor 10 thrust vector, X body axis component",metadata
控制分配/机架几何,CA_ROTOR10_AY,0.0,,,,,Geometry,"Axis of rotor 10 thrust vector, Y body axis component",metadata
控制分配/机架几何,CA_ROTOR10_AZ,-1.0,,,,,Geometry,"Axis of rotor 10 thrust vector, Z body axis component",metadata
控制分配/机架几何,CA_ROTOR10_CT,6.5,,,,,Geometry,Thrust coefficient of rotor 10,metadata
控制分配/机架几何,CA_ROTOR10_KM,0.05000000074505806,,,,,Geometry,Moment coefficient of rotor 10,metadata
控制分配/机架几何,CA_ROTOR10_PX,0.0,,,,m,Geometry,Position of rotor 10 along X body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR10_PY,0.0,,,,m,Geometry,Position of rotor 10 along Y body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR10_PZ,0.0,,,,m,Geometry,Position of rotor 10 along Z body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR11_AX,0.0,,,,,Geometry,"Axis of rotor 11 thrust vector, X body axis component",metadata
控制分配/机架几何,CA_ROTOR11_AY,0.0,,,,,Geometry,"Axis of rotor 11 thrust vector, Y body axis component",metadata
控制分配/机架几何,CA_ROTOR11_AZ,-1.0,,,,,Geometry,"Axis of rotor 11 thrust vector, Z body axis component",metadata
控制分配/机架几何,CA_ROTOR11_CT,6.5,,,,,Geometry,Thrust coefficient of rotor 11,metadata
控制分配/机架几何,CA_ROTOR11_KM,0.05000000074505806,,,,,Geometry,Moment coefficient of rotor 11,metadata
控制分配/机架几何,CA_ROTOR11_PX,0.0,,,,m,Geometry,Position of rotor 11 along X body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR11_PY,0.0,,,,m,Geometry,Position of rotor 11 along Y body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR11_PZ,0.0,,,,m,Geometry,Position of rotor 11 along Z body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR1_AX,0.0,,,,,Geometry,"Axis of rotor 1 thrust vector, X body axis component",metadata
控制分配/机架几何,CA_ROTOR1_AY,0.0,,,,,Geometry,"Axis of rotor 1 thrust vector, Y body axis component",metadata
控制分配/机架几何,CA_ROTOR1_AZ,-1.0,,,,,Geometry,"Axis of rotor 1 thrust vector, Z body axis component",metadata
控制分配/机架几何,CA_ROTOR1_CT,6.5,,,,,Geometry,Thrust coefficient of rotor 1,metadata
控制分配/机架几何,CA_ROTOR1_KM,0.05000000074505806,,,,,Geometry,Moment coefficient of rotor 1,metadata
控制分配/机架几何,CA_ROTOR1_PX,-1.0,0.0,,yes,m,Geometry,Position of rotor 1 along X body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR1_PY,-1.0,0.0,,yes,m,Geometry,Position of rotor 1 along Y body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR1_PZ,0.0,,,,m,Geometry,Position of rotor 1 along Z body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR2_AX,0.0,,,,,Geometry,"Axis of rotor 2 thrust vector, X body axis component",metadata
控制分配/机架几何,CA_ROTOR2_AY,0.0,,,,,Geometry,"Axis of rotor 2 thrust vector, Y body axis component",metadata
控制分配/机架几何,CA_ROTOR2_AZ,-1.0,,,,,Geometry,"Axis of rotor 2 thrust vector, Z body axis component",metadata
控制分配/机架几何,CA_ROTOR2_CT,6.5,,,,,Geometry,Thrust coefficient of rotor 2,metadata
控制分配/机架几何,CA_ROTOR2_KM,-0.05000000074505806,0.05000000074505806,,yes,,Geometry,Moment coefficient of rotor 2,metadata
控制分配/机架几何,CA_ROTOR2_PX,1.0,0.0,,yes,m,Geometry,Position of rotor 2 along X body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR2_PY,-1.0,0.0,,yes,m,Geometry,Position of rotor 2 along Y body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR2_PZ,0.0,,,,m,Geometry,Position of rotor 2 along Z body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR3_AX,0.0,,,,,Geometry,"Axis of rotor 3 thrust vector, X body axis component",metadata
控制分配/机架几何,CA_ROTOR3_AY,0.0,,,,,Geometry,"Axis of rotor 3 thrust vector, Y body axis component",metadata
控制分配/机架几何,CA_ROTOR3_AZ,-1.0,,,,,Geometry,"Axis of rotor 3 thrust vector, Z body axis component",metadata
控制分配/机架几何,CA_ROTOR3_CT,6.5,,,,,Geometry,Thrust coefficient of rotor 3,metadata
控制分配/机架几何,CA_ROTOR3_KM,-0.05000000074505806,0.05000000074505806,,yes,,Geometry,Moment coefficient of rotor 3,metadata
控制分配/机架几何,CA_ROTOR3_PX,-1.0,0.0,,yes,m,Geometry,Position of rotor 3 along X body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR3_PY,1.0,0.0,,yes,m,Geometry,Position of rotor 3 along Y body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR3_PZ,0.0,,,,m,Geometry,Position of rotor 3 along Z body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR4_AX,0.0,,,,,Geometry,"Axis of rotor 4 thrust vector, X body axis component",metadata
控制分配/机架几何,CA_ROTOR4_AY,0.0,,,,,Geometry,"Axis of rotor 4 thrust vector, Y body axis component",metadata
控制分配/机架几何,CA_ROTOR4_AZ,-1.0,,,,,Geometry,"Axis of rotor 4 thrust vector, Z body axis component",metadata
控制分配/机架几何,CA_ROTOR4_CT,6.5,,,,,Geometry,Thrust coefficient of rotor 4,metadata
控制分配/机架几何,CA_ROTOR4_KM,0.05000000074505806,,,,,Geometry,Moment coefficient of rotor 4,metadata
控制分配/机架几何,CA_ROTOR4_PX,0.0,,,,m,Geometry,Position of rotor 4 along X body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR4_PY,0.0,,,,m,Geometry,Position of rotor 4 along Y body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR4_PZ,0.0,,,,m,Geometry,Position of rotor 4 along Z body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR5_AX,0.0,,,,,Geometry,"Axis of rotor 5 thrust vector, X body axis component",metadata
控制分配/机架几何,CA_ROTOR5_AY,0.0,,,,,Geometry,"Axis of rotor 5 thrust vector, Y body axis component",metadata
控制分配/机架几何,CA_ROTOR5_AZ,-1.0,,,,,Geometry,"Axis of rotor 5 thrust vector, Z body axis component",metadata
控制分配/机架几何,CA_ROTOR5_CT,6.5,,,,,Geometry,Thrust coefficient of rotor 5,metadata
控制分配/机架几何,CA_ROTOR5_KM,0.05000000074505806,,,,,Geometry,Moment coefficient of rotor 5,metadata
控制分配/机架几何,CA_ROTOR5_PX,0.0,,,,m,Geometry,Position of rotor 5 along X body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR5_PY,0.0,,,,m,Geometry,Position of rotor 5 along Y body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR5_PZ,0.0,,,,m,Geometry,Position of rotor 5 along Z body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR6_AX,0.0,,,,,Geometry,"Axis of rotor 6 thrust vector, X body axis component",metadata
控制分配/机架几何,CA_ROTOR6_AY,0.0,,,,,Geometry,"Axis of rotor 6 thrust vector, Y body axis component",metadata
控制分配/机架几何,CA_ROTOR6_AZ,-1.0,,,,,Geometry,"Axis of rotor 6 thrust vector, Z body axis component",metadata
控制分配/机架几何,CA_ROTOR6_CT,6.5,,,,,Geometry,Thrust coefficient of rotor 6,metadata
控制分配/机架几何,CA_ROTOR6_KM,0.05000000074505806,,,,,Geometry,Moment coefficient of rotor 6,metadata
控制分配/机架几何,CA_ROTOR6_PX,0.0,,,,m,Geometry,Position of rotor 6 along X body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR6_PY,0.0,,,,m,Geometry,Position of rotor 6 along Y body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR6_PZ,0.0,,,,m,Geometry,Position of rotor 6 along Z body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR7_AX,0.0,,,,,Geometry,"Axis of rotor 7 thrust vector, X body axis component",metadata
控制分配/机架几何,CA_ROTOR7_AY,0.0,,,,,Geometry,"Axis of rotor 7 thrust vector, Y body axis component",metadata
控制分配/机架几何,CA_ROTOR7_AZ,-1.0,,,,,Geometry,"Axis of rotor 7 thrust vector, Z body axis component",metadata
控制分配/机架几何,CA_ROTOR7_CT,6.5,,,,,Geometry,Thrust coefficient of rotor 7,metadata
控制分配/机架几何,CA_ROTOR7_KM,0.05000000074505806,,,,,Geometry,Moment coefficient of rotor 7,metadata
控制分配/机架几何,CA_ROTOR7_PX,0.0,,,,m,Geometry,Position of rotor 7 along X body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR7_PY,0.0,,,,m,Geometry,Position of rotor 7 along Y body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR7_PZ,0.0,,,,m,Geometry,Position of rotor 7 along Z body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR8_AX,0.0,,,,,Geometry,"Axis of rotor 8 thrust vector, X body axis component",metadata
控制分配/机架几何,CA_ROTOR8_AY,0.0,,,,,Geometry,"Axis of rotor 8 thrust vector, Y body axis component",metadata
控制分配/机架几何,CA_ROTOR8_AZ,-1.0,,,,,Geometry,"Axis of rotor 8 thrust vector, Z body axis component",metadata
控制分配/机架几何,CA_ROTOR8_CT,6.5,,,,,Geometry,Thrust coefficient of rotor 8,metadata
控制分配/机架几何,CA_ROTOR8_KM,0.05000000074505806,,,,,Geometry,Moment coefficient of rotor 8,metadata
控制分配/机架几何,CA_ROTOR8_PX,0.0,,,,m,Geometry,Position of rotor 8 along X body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR8_PY,0.0,,,,m,Geometry,Position of rotor 8 along Y body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR8_PZ,0.0,,,,m,Geometry,Position of rotor 8 along Z body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR9_AX,0.0,,,,,Geometry,"Axis of rotor 9 thrust vector, X body axis component",metadata
控制分配/机架几何,CA_ROTOR9_AY,0.0,,,,,Geometry,"Axis of rotor 9 thrust vector, Y body axis component",metadata
控制分配/机架几何,CA_ROTOR9_AZ,-1.0,,,,,Geometry,"Axis of rotor 9 thrust vector, Z body axis component",metadata
控制分配/机架几何,CA_ROTOR9_CT,6.5,,,,,Geometry,Thrust coefficient of rotor 9,metadata
控制分配/机架几何,CA_ROTOR9_KM,0.05000000074505806,,,,,Geometry,Moment coefficient of rotor 9,metadata
控制分配/机架几何,CA_ROTOR9_PX,0.0,,,,m,Geometry,Position of rotor 9 along X body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR9_PY,0.0,,,,m,Geometry,Position of rotor 9 along Y body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR9_PZ,0.0,,,,m,Geometry,Position of rotor 9 along Z body axis relative to center of gravity,metadata
控制分配/机架几何,CA_ROTOR_COUNT,4,0,,yes,,Geometry,Total number of rotors,metadata
控制分配/机架几何,CA_R_REV,0,,,,,Geometry,Bidirectional/Reversible motors,metadata
控制分配/机架几何,CA_SV0_SLEW,0.0,,,,s,Geometry,Servo 0 slew rate limit,metadata
控制分配/机架几何,CA_SV1_SLEW,0.0,,,,s,Geometry,Servo 1 slew rate limit,metadata
控制分配/机架几何,CA_SV2_SLEW,0.0,,,,s,Geometry,Servo 2 slew rate limit,metadata
控制分配/机架几何,CA_SV3_SLEW,0.0,,,,s,Geometry,Servo 3 slew rate limit,metadata
控制分配/机架几何,CA_SV4_SLEW,0.0,,,,s,Geometry,Servo 4 slew rate limit,metadata
控制分配/机架几何,CA_SV5_SLEW,0.0,,,,s,Geometry,Servo 5 slew rate limit,metadata
控制分配/机架几何,CA_SV6_SLEW,0.0,,,,s,Geometry,Servo 6 slew rate limit,metadata
控制分配/机架几何,CA_SV7_SLEW,0.0,,,,s,Geometry,Servo 7 slew rate limit,metadata
故障检测控制约束,FD_ACT_EN,1,,,,,Failure Detector,Enable Actuator Failure check,metadata
故障检测控制约束,FD_ACT_MOT_C2T,2.0,,,,A/%,Failure Detector,Motor Failure Current/Throttle Threshold,metadata
故障检测控制约束,FD_ACT_MOT_THR,0.20000000298023224,,,,norm,Failure Detector,Motor Failure Throttle Threshold,metadata
故障检测控制约束,FD_ACT_MOT_TOUT,100,,,,ms,Failure Detector,Motor Failure Time Threshold,metadata
故障检测控制约束,FD_ESCS_EN,1,,,,,Failure Detector,Enable checks on ESCs that report their arming state,metadata
故障检测控制约束,FD_EXT_ATS_EN,0,,,,,Failure Detector,Enable PWM input on for engaging failsafe from an external automatic trigger system (ATS),metadata
故障检测控制约束,FD_EXT_ATS_TRIG,1900,,,,us,Failure Detector,The PWM threshold from external automatic trigger system for engaging failsafe,metadata
故障检测控制约束,FD_FAIL_P,80,60,60,yes,deg,Failure Detector,FailureDetector Max Pitch,metadata
故障检测控制约束,FD_FAIL_P_TTRI,0.30000001192092896,,,,s,Failure Detector,Pitch failure trigger time,metadata
