category,parameter,current_value,system_default_in_log,current_setup_default_in_log,changed_from_logged_default,unit,px4_group,short_description,source_status
Commander模式/解锁/安全约束,COM_POWER_COUNT,1,,,,,Commander,Required number of redundant power modules,metadata
Commander模式/解锁/安全约束,COM_PREARM_MODE,0,,,,,Commander,Condition to enter prearmed mode,metadata
Commander模式/解锁/安全约束,COM_QC_ACT,0,,,,,Commander,Set action after a quadchute,metadata
Commander模式/解锁/安全约束,COM_RAM_MAX,95.0,,,,%,Commander,Maximum allowed RAM usage to pass checks,metadata
Commander模式/解锁/安全约束,COM_RCL_EXCEPT,7,,,,,Commander,RC loss exceptions,metadata
Commander模式/解锁/安全约束,COM_RC_ARM_HYST,1000,,,,ms,Commander,RC input arm/disarm command duration,metadata
Commander模式/解锁/安全约束,COM_RC_IN_MODE,1,3,3,yes,,Commander,RC control input mode,metadata
Commander模式/解锁/安全约束,COM_RC_LOSS_T,3.0,0.5,0.5,yes,s,Commander,Manual control loss timeout,metadata
Commander模式/解锁/安全约束,COM_RC_OVERRIDE,1,,,,,Commander,Enable RC stick override of auto and/or offboard modes,metadata
Commander模式/解锁/安全约束,COM_RC_STICK_OV,30.0,,,,%,Commander,RC stick override threshold,metadata
Commander模式/解锁/安全约束,COM_SPOOLUP_TIME,1.0,,,,s,Commander,Enforced delay between arming and further navigation,metadata
Commander模式/解锁/安全约束,COM_TAKEOFF_ACT,0,,,,,Commander,Action after TAKEOFF has been accepted,metadata
Commander模式/解锁/安全约束,COM_THROW_EN,0,,,,,Commander,Enable throw-start,metadata
Commander模式/解锁/安全约束,COM_THROW_SPEED,5.0,,,,m/s,Commander,Minimum speed for the throw start,metadata
Commander模式/解锁/安全约束,COM_VEL_FS_EVH,1.0,,,,m/s,Commander,Horizontal velocity error threshold,metadata
Commander模式/解锁/安全约束,COM_WIND_MAX,-1.0,,,,m/s,Commander,High wind speed failsafe threshold,metadata
Commander模式/解锁/安全约束,COM_WIND_MAX_ACT,0,,,,,Commander,High wind failsafe mode,metadata
